epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,865.772,1.47479,0.80325,1.26678,0.74337,0.78043,0.80357,0.35815,1.94416,1.03432,1.59096,0.0009176,0.0009176,0.0009176
84,876.135,1.48386,0.80378,1.25723,0.78724,0.71122,0.75717,0.35398,1.87769,1.12857,1.5486,0.0009044,0.0009044,0.0009044
85,886.49,1.48577,0.78755,1.25062,0.7764,0.70438,0.74377,0.34374,1.88964,1.16962,1.58297,0.0008912,0.0008912,0.0008912
86,896.774,1.44607,0.77965,1.24684,0.75322,0.73508,0.74652,0.34806,1.93961,1.17668,1.59284,0.000878,0.000878,0.000878
87,907.057,1.44032,0.78796,1.25728,0.76388,0.74893,0.79037,0.3558,1.93041,1.06334,1.57423,0.0008648,0.0008648,0.0008648
88,917.406,1.46595,0.79355,1.26451,0.79345,0.68974,0.75274,0.32285,1.94214,1.13361,1.59462,0.0008516,0.0008516,0.0008516
89,927.702,1.45605,0.78741,1.25998,0.7535,0.70644,0.73082,0.33308,1.92391,1.18116,1.61855,0.0008384,0.0008384,0.0008384
90,938.02,1.48079,0.79439,1.24713,0.80153,0.73986,0.78868,0.36603,1.91823,1.01931,1.59178,0.0008252,0.0008252,0.0008252
91,948.343,1.43836,0.77883,1.23544,0.73723,0.80351,0.80325,0.37915,1.88802,1.00105,1.56437,0.000812,0.000812,0.000812
92,958.677,1.44788,0.7791,1.23962,0.7766,0.76611,0.80299,0.37129,1.89409,1.02531,1.57716,0.0007988,0.0007988,0.0007988
93,968.945,1.42813,0.77101,1.24522,0.79364,0.75418,0.77259,0.35806,1.94461,1.06773,1.60688,0.0007856,0.0007856,0.0007856
94,979.218,1.43506,0.77386,1.2409,0.76397,0.74463,0.75863,0.3484,1.90335,1.05728,1.57852,0.0007724,0.0007724,0.0007724
95,989.483,1.42087,0.76637,1.22908,0.7595,0.73864,0.79749,0.36097,1.94371,0.99791,1.60834,0.0007592,0.0007592,0.0007592
96,999.788,1.44045,0.76805,1.24184,0.77758,0.71756,0.76299,0.33732,1.93938,1.11376,1.60101,0.000746,0.000746,0.000746
97,1010.29,1.40853,0.74602,1.22391,0.83094,0.71599,0.77129,0.35662,1.87325,1.05581,1.57194,0.0007328,0.0007328,0.0007328
98,1020.7,1.41083,0.75158,1.23132,0.76949,0.73299,0.75499,0.34174,1.94431,1.09384,1.62891,0.0007196,0.0007196,0.0007196
99,1030.99,1.42429,0.75247,1.23736,0.71446,0.76372,0.78091,0.35265,1.93844,0.99856,1.61753,0.0007064,0.0007064,0.0007064
100,1041.6,1.38875,0.73915,1.22131,0.7696,0.76611,0.76707,0.34088,1.98721,1.084,1.63062,0.0006932,0.0006932,0.0006932
101,1052.31,1.40677,0.73855,1.22095,0.73124,0.76624,0.76635,0.34378,1.95332,1.04627,1.60294,0.00068,0.00068,0.00068
102,1062.95,1.3915,0.73217,1.21415,0.77542,0.7746,0.7794,0.35968,1.92652,1.01101,1.59048,0.0006668,0.0006668,0.0006668
103,1073.34,1.37174,0.72352,1.20713,0.74603,0.76134,0.7443,0.35392,1.89616,1.06548,1.58891,0.0006536,0.0006536,0.0006536
104,1083.68,1.38039,0.73004,1.20402,0.78085,0.73983,0.77452,0.34359,1.94123,1.0043,1.60868,0.0006404,0.0006404,0.0006404
105,1093.97,1.38001,0.72336,1.20727,0.7948,0.72554,0.77156,0.34946,1.92057,1.03018,1.58019,0.0006272,0.0006272,0.0006272
106,1104.23,1.36083,0.70989,1.20453,0.75461,0.74128,0.75439,0.35249,1.88603,1.08683,1.57839,0.000614,0.000614,0.000614
107,1114.51,1.35693,0.72503,1.20057,0.76786,0.75787,0.77688,0.35582,1.87222,1.01657,1.56844,0.0006008,0.0006008,0.0006008
108,1124.87,1.35357,0.72326,1.20291,0.77946,0.75656,0.78441,0.36469,1.87768,1.04661,1.56428,0.0005876,0.0005876,0.0005876
109,1135.18,1.38172,0.72774,1.20897,0.78142,0.75418,0.78909,0.35809,1.97341,1.0029,1.63886,0.0005744,0.0005744,0.0005744
110,1145.48,1.3406,0.70589,1.19343,0.77624,0.75656,0.76619,0.35771,1.89026,1.07165,1.58027,0.0005612,0.0005612,0.0005612
111,1155.75,1.33575,0.70246,1.18756,0.79049,0.76539,0.77758,0.35912,1.8815,1.09795,1.58466,0.000548,0.000548,0.000548
112,1166.11,1.34516,0.70406,1.1914,0.73656,0.76134,0.75531,0.34377,1.9614,1.08126,1.65357,0.0005348,0.0005348,0.0005348
113,1176.74,1.33548,0.70191,1.18473,0.78368,0.72554,0.78497,0.35864,1.94501,1.04999,1.62744,0.0005216,0.0005216,0.0005216
114,1187.14,1.3314,0.70192,1.1833,0.76735,0.7793,0.7878,0.35449,1.98129,1.06557,1.64121,0.0005084,0.0005084,0.0005084
115,1197.84,1.34205,0.69928,1.17802,0.76903,0.7867,0.78459,0.3732,1.91782,1.04423,1.62253,0.0004952,0.0004952,0.0004952
116,1208.52,1.33803,0.70161,1.17475,0.72327,0.78596,0.76612,0.3563,1.92502,1.04265,1.62089,0.000482,0.000482,0.000482
117,1218.86,1.30964,0.67671,1.17063,0.72557,0.74224,0.74148,0.34153,1.95716,1.09335,1.63176,0.0004688,0.0004688,0.0004688
118,1229.19,1.30108,0.68442,1.17385,0.76611,0.73508,0.75798,0.33886,1.99207,1.07279,1.67406,0.0004556,0.0004556,0.0004556
119,1239.54,1.31599,0.69615,1.17229,0.77982,0.76077,0.76781,0.35065,1.96195,1.06906,1.65058,0.0004424,0.0004424,0.0004424
120,1249.93,1.30736,0.67427,1.16522,0.74972,0.74353,0.74902,0.352,1.95424,1.0974,1.63126,0.0004292,0.0004292,0.0004292
121,1260.31,1.29952,0.67538,1.16722,0.73855,0.78282,0.7592,0.35664,1.9114,1.0582,1.6064,0.000416,0.000416,0.000416
122,1270.61,1.30156,0.69282,1.18725,0.77084,0.77088,0.79397,0.36308,1.96311,1.00575,1.63646,0.0004028,0.0004028,0.0004028
123,1280.96,1.30003,0.67268,1.16198,0.79625,0.75418,0.77987,0.36182,1.93046,1.055,1.62049,0.0003896,0.0003896,0.0003896
124,1291.39,1.29052,0.66998,1.15471,0.76046,0.77285,0.79165,0.3534,1.96129,1.01015,1.63651,0.0003764,0.0003764,0.0003764
125,1301.84,1.28863,0.66356,1.15797,0.70238,0.79981,0.77295,0.34063,1.96527,1.04656,1.64414,0.0003632,0.0003632,0.0003632
126,1312.25,1.2801,0.66654,1.16614,0.79944,0.77088,0.78785,0.36173,1.92844,1.09626,1.61541,0.00035,0.00035,0.00035
127,1323.08,1.27677,0.67192,1.15813,0.76904,0.76372,0.7715,0.34633,1.93195,1.08671,1.60834,0.0003368,0.0003368,0.0003368
128,1333.73,1.26293,0.65385,1.14054,0.74322,0.72792,0.75716,0.33706,1.93517,1.03053,1.60836,0.0003236,0.0003236,0.0003236
129,1344.11,1.24627,0.66039,1.15655,0.77186,0.75903,0.76703,0.34928,1.93778,1.06741,1.62348,0.0003104,0.0003104,0.0003104
130,1354.46,1.27282,0.65522,1.15235,0.78358,0.73452,0.77112,0.34089,1.95838,1.07671,1.62771,0.0002972,0.0002972,0.0002972
131,1364.82,1.28682,0.65908,1.14596,0.76935,0.76424,0.77375,0.35177,1.92745,1.10674,1.60262,0.000284,0.000284,0.000284
132,1375.14,1.23821,0.64642,1.14748,0.80049,0.74702,0.76347,0.34704,1.95116,1.08766,1.63177,0.0002708,0.0002708,0.0002708
133,1385.43,1.25561,0.6539,1.15129,0.75894,0.76134,0.7698,0.34751,1.92015,1.05347,1.59535,0.0002576,0.0002576,0.0002576
134,1395.71,1.22162,0.63313,1.13434,0.79037,0.75895,0.78766,0.35582,1.94002,1.05208,1.62372,0.0002444,0.0002444,0.0002444
135,1406,1.23558,0.64004,1.13253,0.7677,0.74141,0.77666,0.3536,1.93426,1.03687,1.62012,0.0002312,0.0002312,0.0002312
136,1416.29,1.23901,0.64107,1.13661,0.76015,0.74702,0.76266,0.34224,1.95667,1.07236,1.62455,0.000218,0.000218,0.000218
137,1426.6,1.22974,0.63658,1.1327,0.76603,0.74231,0.75636,0.34225,1.92194,1.1056,1.6105,0.0002048,0.0002048,0.0002048
138,1436.87,1.23117,0.63878,1.13468,0.74195,0.75484,0.76821,0.34449,1.94511,1.06296,1.62685,0.0001916,0.0001916,0.0001916
139,1447.17,1.25293,0.64432,1.13655,0.76249,0.78759,0.78667,0.35759,1.92631,1.06957,1.6338,0.0001784,0.0001784,0.0001784
140,1457.49,1.22006,0.63044,1.12972,0.76186,0.77566,0.75629,0.34588,1.91882,1.11758,1.62182,0.0001652,0.0001652,0.0001652
141,1468.13,1.2323,0.61239,1.12026,0.79147,0.76995,0.7738,0.35149,1.94192,1.09858,1.63258,0.000152,0.000152,0.000152
142,1478.33,1.19439,0.58779,1.11667,0.77315,0.77088,0.77153,0.34733,1.93069,1.08963,1.62442,0.0001388,0.0001388,0.0001388
143,1488.51,1.20325,0.58465,1.12041,0.77414,0.78282,0.79294,0.36048,1.92187,1.04234,1.62812,0.0001256,0.0001256,0.0001256
144,1498.72,1.18034,0.57068,1.09128,0.77465,0.77088,0.77271,0.35371,1.92463,1.0618,1.62911,0.0001124,0.0001124,0.0001124
145,1508.89,1.17849,0.56892,1.10475,0.78078,0.77352,0.7806,0.35224,1.93429,1.07092,1.62894,9.92e-05,9.92e-05,9.92e-05
146,1519.07,1.17727,0.56802,1.09413,0.78085,0.79952,0.79873,0.36235,1.92888,1.05221,1.62792,8.6e-05,8.6e-05,8.6e-05
147,1529.26,1.1598,0.56359,1.08952,0.75367,0.78043,0.76958,0.35071,1.93046,1.06088,1.63371,7.28e-05,7.28e-05,7.28e-05
148,1539.46,1.17557,0.57082,1.09425,0.77153,0.7852,0.77959,0.35574,1.9192,1.05806,1.63073,5.96e-05,5.96e-05,5.96e-05
149,1549.64,1.17408,0.57864,1.10584,0.76228,0.78063,0.77491,0.35337,1.92194,1.05754,1.62417,4.64e-05,4.64e-05,4.64e-05
150,1559.82,1.16118,0.56432,1.09774,0.7611,0.79236,0.78589,0.35672,1.92935,1.03852,1.6315,3.32e-05,3.32e-05,3.32e-05
